Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,SEX,SIZE,Escape,Sa,Va,Du,Al,Co,Gr,Ca,type,commentaire,fond,,
140,21,8,2007,Gpaulin,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,2,,,,,,,,,,,Simple,,,,
141,21,8,2007,Gpaulin,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,3,,,,,,,,,,,Simple,,,,
142,21,8,2007,Gpaulin,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,5,,,,,,,,,,,Simple,,,,
143,21,8,2007,Gpaulin,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,7,,,,,,,,,,,Simple,,,,
144,21,8,2007,Gpaulin,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,8,,,,,,,,,,,Simple,,,,
145,21,8,2007,Gpaulin,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,14,,,,,,,,,,,Simple,LS,,,
146,21,8,2007,Gpaulin,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,15,,,,,,,,,,,Simple,LS,,,
147,21,8,2007,Gpaulin,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,16,,,,,,,,,,,Simple,,,,
148,21,8,2007,Gpaulin,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,17,,,,,,,,,,,Simple,,,,
149,21,8,2007,Gpaulin,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,18,,,,,,,,,,,Simple,,,,
150,21,8,2007,Gpaulin,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,19,,,,,,,,,,,Simple,,,,
151,21,8,2007,Gpaulin,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,20,,,,,,,,,,,Simple,,,,
152,21,8,2007,Dgiard,4552.557,6326.099,4552.571,6326.175,18,FH,L3-T4,1,,,,,,,,,,,Simple,,,,
153,21,8,2007,Dgiard,4552.557,6326.099,4552.571,6326.175,18,FH,L3-T4,2,,,,,,,,,,,Simple,,,,
154,21,8,2007,Dgiard,4552.557,6326.099,4552.571,6326.175,18,FH,L3-T4,3,,,,,,,,,,,Simple,,,,
155,21,8,2007,Dgiard,4552.557,6326.099,4552.571,6326.175,18,FH,L3-T4,4,,,,,,,,,,,Simple,,,,
156,21,8,2007,Dgiard,4552.557,6326.099,4552.571,6326.175,18,FH,L3-T4,5,,,,,,,,,,,Simple,,,,
157,21,8,2007,Dgiard,4552.557,6326.099,4552.571,6326.175,18,FH,L3-T4,20,f,86,,,,,,,,,Simple,,,,
158,21,8,2007,Bcomeau,4552.557,6326.099,4552.571,6326.175,18,FH,L3-T4,1,,,,,,,,,,,Simple,,,,
159,21,8,2007,Bcomeau,4552.557,6326.099,4552.571,6326.175,18,FH,L3-T4,2,,,,,,,,,,,Simple,,,,
160,21,8,2007,Bcomeau,4552.557,6326.099,4552.571,6326.175,18,FH,L3-T4,3,,,,,,,,,,,Simple,,,,
161,21,8,2007,Bcomeau,4552.557,6326.099,4552.571,6326.175,18,FH,L3-T4,4,,,,,,,,,,,Simple,,,,
162,21,8,2007,Bcomeau,4552.557,6326.099,4552.571,6326.175,18,FH,L3-T4,5,,,,,,,,,,,Simple,,,,
163,21,8,2007,Bcomeau,4552.557,6326.099,4552.571,6326.175,18,FH,L3-T4,6,,,,,,,,,,,Simple,,,,
164,21,8,2007,Bcomeau,4552.557,6326.099,4552.571,6326.175,18,FH,L3-T4,7,,,,,,,,,,,Simple,,,,
165,21,8,2007,Bcomeau,4552.557,6326.099,4552.571,6326.175,18,FH,L3-T4,8,,,,,,,,,,,Simple,,,,
166,21,8,2007,Bcomeau,4552.557,6326.099,4552.571,6326.175,18,FH,L3-T4,9,,,,,,,,,,,Simple,,,,
167,21,8,2007,Bcomeau,4552.557,6326.099,4552.571,6326.175,18,FH,L3-T4,10,,,,,,,,,,,Simple,,,,
168,21,8,2007,Bcomeau,4552.557,6326.099,4552.571,6326.175,18,FH,L3-T4,19,,,,,,,,,,,Simple,,,,
169,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,1,,,,,,,,,,,Simple,,,,
170,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,2,,,,,,,,,,,Simple,,,,
171,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,3,,,,,,,,,,,Simple,,,,
172,21,8,2007,Fplante,4552.526,6325.917,4552.539,6325.991,23,FH,L3-T5,4,,,,,,,,,,,Simple,,,,
